course_id,title,provider,url,level,duration_bucket,language,topic,skills,skill_tags_normalized,description,estimated_effort_hours,format
crs_0001,Feature Flags and Progressive Delivery in Practice,Coursera,https://learning.example.com/courses/crs_0001/feature-flags-and-progressive-delivery-in-practice,Intermediate,1–4 Weeks,English,Computer Science,"Feature Flags, Release Management, Risk Mitigation, Observability, System Design, Incident Management","feature-flags, release-engineering, risk-mitigation, observability","This course helps you build job-ready skills for feature-flags, release-engineering, risk-mitigation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",9,Course
crs_0002,API Design and Backend Engineering: Patterns and Practices for Teams,Coursera,https://learning.example.com/courses/crs_0002/api-design-and-backend-engineering-patterns-and-practices-for-teams,Advanced,1–3 Months,German,Computer Science,"API Design, Backend Development, REST APIs, System Design","backend, api-design","This course helps you build job-ready skills for backend, api-design. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",33,Course
crs_0003,Secure Modern Frontend Engineering with React and TypeScript,IBM SkillsBuild,https://learning.example.com/courses/crs_0003/secure-modern-frontend-engineering-with-react-and-typescript,Beginner,1–4 Weeks,French,Computer Science,"React, TypeScript, UI Engineering, Accessibility, State Management","frontend, react, typescript, ui, accessibility","This course helps you build job-ready skills for frontend, react, typescript. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",7,Professional Certificate
crs_0004,"Go for Backend Services: Concurrency, APIs, and Logging at Scale",IBM SkillsBuild,https://learning.example.com/courses/crs_0004/go-for-backend-services-concurrency-apis-and-logging-at-scale,Intermediate,1–4 Weeks,English,Computer Science,"Go, Concurrency, Backend Development, Logging, Code Review","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",14,Course
crs_0005,Infrastructure as Code with Terraform and Cloud Foundations: Analytics Essentials,Coursera,https://learning.example.com/courses/crs_0005/infrastructure-as-code-with-terraform-and-cloud-foundations-analytics-essentials,Intermediate,1–4 Weeks,English,Information Technology,"Terraform, Infrastructure as Code, Cloud Computing, DevOps","iac, platform, cloud, automation","This course helps you build job-ready skills for iac, platform, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",13,Course
crs_0006,Secure Authentication with OAuth and OpenID Connect for Teams,Coursera,https://learning.example.com/courses/crs_0006/secure-authentication-with-oauth-and-openid-connect-for-teams,Beginner,3–6 Months,English,Computer Science,"OAuth, OpenID Connect, Identity and Access Management, Security, Code Review, System Design","iam, security, access-control","This course helps you build job-ready skills for iam, security, access-control. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",70,Course
crs_0007,Supply Chain Security and Container Scanning in CI at Scale,Coursera,https://learning.example.com/courses/crs_0007/supply-chain-security-and-container-scanning-in-ci-at-scale,Beginner,1–4 Weeks,English,Information Technology,"Software Supply Chain, SAST, SCA, Container Security, Trivy, Cloud Architecture, Security Best Practices","security, supply-chain, sca, cicd","This course helps you build job-ready skills for security, supply-chain, sca. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",13,Course
crs_0008,Advanced Infrastructure as Code with Terraform and Cloud Foundations,Coursera,https://learning.example.com/courses/crs_0008/advanced-infrastructure-as-code-with-terraform-and-cloud-foundations,Intermediate,Less than 2 hours,English,Information Technology,"Terraform, Infrastructure as Code, Cloud Computing, DevOps, Observability","iac, platform, cloud, automation","This course helps you build job-ready skills for iac, platform, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Guided Project
crs_0009,FinOps Fundamentals: Cloud Cost Optimization and Governance Foundations,Coursera,https://learning.example.com/courses/crs_0009/finops-fundamentals-cloud-cost-optimization-and-governance-foundations,Beginner,1–3 Months,Portuguese (Brazil),Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, Observability","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",46,Course
crs_0010,Feature Flags and Progressive Delivery: Analytics Essentials,IBM SkillsBuild,https://learning.example.com/courses/crs_0010/feature-flags-and-progressive-delivery-analytics-essentials,Intermediate,Less than 2 hours,English,Computer Science,"Feature Flags, Release Management, Risk Mitigation, Observability, Security Best Practices, Performance Tuning","feature-flags, release-engineering, risk-mitigation, observability","This course helps you build job-ready skills for feature-flags, release-engineering, risk-mitigation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
crs_0011,Modern Probability and Statistics for Engineers,Coursera,https://learning.example.com/courses/crs_0011/modern-probability-and-statistics-for-engineers,Beginner,1–4 Weeks,English,Math and Logic,"Probability, Statistics, Data Literacy, Hypothesis Testing, Code Review","math, statistics","This course helps you build job-ready skills for math, statistics. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",10,Course
crs_0012,Practical Data Engineering with Streaming and Kafka in Practice,Coursera,https://learning.example.com/courses/crs_0012/practical-data-engineering-with-streaming-and-kafka-in-practice,Intermediate,Less than 2 hours,English,Data Science,"Kafka, Streaming Data, Data Pipelines, Schema Registry, Observability","streaming, kafka, data-platform, schemas","This course helps you build job-ready skills for streaming, kafka, data-platform. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0013,Modern FinOps Fundamentals: Cloud Cost Optimization and Governance,Coursera,https://learning.example.com/courses/crs_0013/modern-finops-fundamentals-cloud-cost-optimization-and-governance,Mixed,1–3 Months,English,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, Code Review, Testing","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",49,Course
crs_0014,Secure Feature Flags and Progressive Delivery,Coursera,https://learning.example.com/courses/crs_0014/secure-feature-flags-and-progressive-delivery,Mixed,1–3 Months,English,Computer Science,"Feature Flags, Release Management, Risk Mitigation, Observability","feature-flags, release-engineering, risk-mitigation, observability","This course helps you build job-ready skills for feature-flags, release-engineering, risk-mitigation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",36,Course
crs_0015,Scalable Testing Strategies with PyTest and Mocking for Reliable Systems,IBM SkillsBuild,https://learning.example.com/courses/crs_0015/scalable-testing-strategies-with-pytest-and-mocking-for-reliable-systems,Beginner,1–4 Weeks,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",7,Course
crs_0016,Kubernetes Foundations for Platform Engineers Foundations,IBM Training,https://learning.example.com/courses/crs_0016/kubernetes-foundations-for-platform-engineers-foundations,Mixed,Less than 2 hours,English,Information Technology,"Kubernetes, Containers, Cluster Management, Troubleshooting, SRE, DevOps","kubernetes, platform, reliability, containers","This course helps you build job-ready skills for kubernetes, platform, reliability. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
crs_0017,Reliable API Design and Backend Engineering: Patterns and Practices,IBM SkillsBuild,https://learning.example.com/courses/crs_0017/reliable-api-design-and-backend-engineering-patterns-and-practices,Intermediate,Less than 2 hours,French,Computer Science,"API Design, Backend Development, REST APIs, System Design","backend, api-design","This course helps you build job-ready skills for backend, api-design. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
crs_0018,CI/CD with GitHub Actions and Modern DevOps: Billing Playbook,Coursera,https://learning.example.com/courses/crs_0018/ci-cd-with-github-actions-and-modern-devops-billing-playbook,Beginner,1–3 Months,English,Information Technology,"CI/CD, GitHub Actions, Automation, DevOps, System Design, Performance Tuning","cicd, automation","This course helps you build job-ready skills for cicd, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",22,Professional Certificate
