kudos_id,created_at,based_on_log_id,employee_id,manager_id,team_id,message_short,values_tags,approval_status,approved_at,posted_to,posted_at,visibility,edited_by_manager
kds_0001,2026-01-03T12:10:00Z,1014,emp_01,mgr_01,team_alpha,Kudos for delivering 'Secrets rotation automation'. Strong Mentorship and great work with Vault.,Mentorship,Pending Approval,,,,Team Channel,No
kds_0002,2026-01-04T14:12:00Z,1023,emp_03,mgr_01,team_alpha,Kudos for delivering 'Fix flaky integration tests in platform-core'. Strong Reliability and great work with PyTest.,"Reliability, Collaboration",Rejected,2026-01-05T16:39:00Z,,,Team Channel,No
kds_0003,2026-01-06T12:04:00Z,1078,emp_05,mgr_02,team_beta,Kudos for delivering 'Secrets rotation automation'. Strong Mentorship and great work with Vault.,"Mentorship, Customer Focus",Approved,2026-01-08T06:56:00Z,,,Team Channel,No
kds_0004,2026-01-10T14:42:00Z,1052,emp_02,mgr_03,team_gamma,Kudos for delivering 'Secrets rotation automation'. Strong Security Mindset and great work with Vault.,"Security Mindset, Mentorship",Pending Approval,,,,Team Channel,No
kds_0005,2026-01-10T15:04:00Z,1074,emp_11,mgr_03,team_gamma,Thanks for delivering 'Evaluate vector search options for profile-service'. Strong Security Mindset and great work with Embeddings.,"Security Mindset, Ownership",Posted,2026-01-11T05:38:00Z,direct:manager,2026-01-11T09:06:00Z,Private,Yes
kds_0006,2026-01-11T09:23:00Z,1011,emp_08,mgr_04,team_delta,Kudos for delivering 'Feature flag rollout for billing-service'. Strong Ownership and great work with Feature Flags.,"Ownership, Customer Focus",Posted,2026-01-11T19:25:00Z,slack:#-team-delta,2026-01-11T20:41:00Z,Team Channel,No
kds_0007,2026-01-11T10:48:00Z,1089,emp_08,mgr_04,team_delta,Kudos for delivering 'Evaluate vector search options for search-api'. Strong Security Mindset and great work with Embeddings.,Security Mindset,Posted,2026-01-13T10:40:00Z,slack:#-team-delta,2026-01-13T13:32:00Z,Team Channel,No
kds_0009,2026-01-14T10:04:00Z,1095,emp_05,mgr_02,team_beta,Kudos for delivering 'CI/CD pipeline hardening for infra-modules'. Strong Reliability and great work with GitHub Actions.,Reliability,Posted,2026-01-16T08:00:00Z,slack:#-team-beta,2026-01-16T11:34:00Z,Team Channel,No
kds_0008,2026-01-14T16:10:00Z,1062,emp_12,mgr_04,team_delta,Kudos for delivering 'Implement rate limiting for notifications'. Strong Innovation and great work with Redis.,"Innovation, Security Mindset",Posted,2026-01-16T13:43:00Z,direct:manager,2026-01-16T13:49:00Z,Private,No
kds_0010,2026-01-15T10:43:00Z,1013,emp_09,mgr_01,team_alpha,Kudos for delivering 'Implement rate limiting for billing-service'. Strong Customer Focus and great work with Redis.,"Customer Focus, Reliability",Approved,2026-01-16T00:30:00Z,,,Team Channel,No
kds_0011,2026-01-17T17:28:00Z,1069,emp_08,mgr_04,team_delta,Kudos for delivering 'Feature flag rollout for profile-service'. Strong Collaboration and great work with Feature Flags.,Collaboration,Posted,2026-01-18T13:49:00Z,slack:#-team-delta,2026-01-18T14:09:00Z,Company Wide,No
kds_0012,2026-01-20T17:35:00Z,1088,emp_09,mgr_01,team_alpha,Thanks for delivering 'Fix flaky integration tests in infra-modules'. Strong Mentorship and great work with PyTest.,"Mentorship, Ownership",Posted,2026-01-22T14:27:00Z,slack:#-team-alpha,2026-01-22T15:43:00Z,Team Channel,Yes
kds_0014,2026-01-21T11:00:00Z,1029,emp_09,mgr_01,team_alpha,Kudos for delivering 'Evaluate vector search options for profile-service'. Strong Security Mindset and great work with Embeddings.,Security Mindset,Pending Approval,,,,Private,No
kds_0013,2026-01-21T11:16:00Z,1001,emp_02,mgr_03,team_gamma,Thanks for delivering 'Feature flag rollout for profile-service'. Strong Execution Excellence and great work with Feature Flags.,"Execution Excellence, Mentorship",Posted,2026-01-22T08:31:00Z,slack:#-team-gamma,2026-01-22T11:23:00Z,Team Channel,Yes
kds_0015,2026-01-24T16:41:00Z,1040,emp_12,mgr_04,team_delta,Kudos for delivering 'Database schema migration for analytics-api'. Strong Reliability and great work with PostgreSQL.,Reliability,Posted,2026-01-25T11:11:00Z,slack:#-team-delta,2026-01-25T13:37:00Z,Team Channel,No
kds_0016,2026-01-25T17:20:00Z,1055,emp_07,mgr_04,team_delta,Kudos for delivering 'Add audit logging for privileged actions'. Strong Ownership and great work with Go.,"Ownership, Collaboration",Pending Approval,,,,Team Channel,No
kds_0018,2026-01-27T12:33:00Z,1054,emp_02,mgr_03,team_gamma,Thanks for delivering 'Evaluate vector search options for search-api'. Strong Execution Excellence and great work with Embeddings.,Execution Excellence,Approved,2026-01-27T20:42:00Z,,,Team Channel,Yes
kds_0017,2026-01-27T14:57:00Z,1034,emp_04,mgr_03,team_gamma,Kudos for delivering 'Patch dependency CVE in web-dashboard'. Strong Security Mindset and great work with Dependency Management.,"Security Mindset, Reliability",Pending Approval,,,,Team Channel,No
kds_0019,2026-01-28T14:01:00Z,1016,emp_02,mgr_03,team_gamma,Kudos for delivering 'CI/CD pipeline hardening for web-dashboard'. Strong Execution Excellence and great work with GitHub Actions.,"Execution Excellence, Reliability",Posted,2026-01-29T14:33:00Z,slack:#-team-gamma,2026-01-29T16:58:00Z,Team Channel,No
kds_0020,2026-01-31T12:08:00Z,1091,emp_05,mgr_02,team_beta,Kudos for delivering 'Add audit logging for privileged actions'. Strong Reliability and great work with Go.,"Reliability, Customer Focus",Rejected,2026-02-02T12:24:00Z,,,Team Channel,No
